title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Hardware Reverse Engineer,hardware reverse engineer,NaN,Johns Hopkins Applied Physics Laboratory (APL),johns hopkins applied physics laboratory (apl),3.9,"Laurel, MD 20723","Laurel, MD"
Software Developer,software developer,NaN,Booz Allen Hamilton,booz allen hamilton,3.9,"Hybrid remote in Charleston, SC
+51 locations","Hybrid remote in Charleston, SC
+51 locations"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Network Security Software Engineer (early career),network security software engineer (early career),NaN,Hewlett Packard Enterprise,hewlett packard enterprise,3.8,"Hybrid remote in San Jose, CA 95002","Hybrid remote in San Jose, CA 95002"
Software Engineer - Voice & Video Infrastructure,software engineer - voice & video infrastructure,Estimated $145K - $183K a year,Discord,discord,4.3,"Remote in San Francisco, CA 94107
+3 locations",remote
Software Integrity Engineer,software integrity engineer,NaN,Apple,apple,4.1,"Cupertino, CA","Cupertino, CA"
Team Lead,team lead,NaN,Robert Half,robert half,3.9,"Bourne, MA 02532","Bourne, MA"
Software Engineer (Remote),software engineer (remote),NaN,Home Depot / THD,home depot / thd,3.7,"Remote in Atlanta, GA 30301
+4 locations",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Principal Software Engineer
new","principal software engineer
new",NaN,Leidos,leidos,3.7,"San Diego, CA 92121 
(University City area)
+1 location","San Diego, CA"
Software Engineer (L4) - TV User Interface,software engineer (l4) - tv user interface,Estimated $114K - $144K a year,Netflix,netflix,3.9,Remote,remote
Software Engineer Entry Level,software engineer entry level,NaN,Humana,humana,3.6,"Remote in Lancaster, SC 29720
+126 locations",remote
Computer Software Engineers,computer software engineers,Estimated $89.1K - $113K a year,Phemak,phemak,NaN,"Princeton, NJ 08540","Princeton, NJ"
Software Engineer,software engineer,Estimated $92.1K - $117K a year,TecAce,tecace,NaN,"Bellevue, WA 98004 
(North Bellevue area)","Bellevue, WA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Entry Level Software Engineer,entry level software engineer,NaN,SkillStorm,skillstorm,3.6,"Baltimore, MD
+6 locations","Baltimore, MD"
"PGS AMP Software Integration and Test Engineer (Space Systems)
new","pgs amp software integration and test engineer (space systems)
new",NaN,Northrop Grumman,northrop grumman,4,"Redondo Beach, CA 90278
+1 location","Redondo Beach, CA"
Network Security Software Engineer,network security software engineer,NaN,Peraton,peraton,3.2,"Basking Ridge, NJ 07920","Basking Ridge, NJ"
"Ruby on Rails Software Engineer
new","ruby on rails software engineer
new",NaN,ITAC Solutions,itac solutions,4.1,"Birmingham, AL 35216","Birmingham, AL"
Software Integration Engineer II,software integration engineer ii,NaN,Raytheon Missiles & Defense,raytheon missiles & defense,3.7,"Marlborough, MA 01752 
(Farm Road area)
+2 locations","Marlborough, MA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
DevOps Manager,devops manager,Estimated $119K - $151K a year,Axle Informatics,axle informatics,3.7,"Hybrid remote in Rockville, MD 20852","Hybrid remote in Rockville, MD 20852"
"Software Engineer, Front End","software engineer, front end",NaN,Candid Health,candid health,NaN,"Denver, CO
+3 locations","Denver, CO"
Software Engineer 1,software engineer 1,NaN,Service Core,service core,NaN,"Remote in Denver, CO",remote
Software Engineer,software engineer,NaN,Outerbounds,outerbounds,NaN,"+1 location
Remote",remote
Software Engineer | Frontend,software engineer | frontend,Estimated $133K - $169K a year,Ramp Financial,ramp financial,NaN,"Remote in New York, NY
+7 locations",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Quality Assurance Engineer - Entry Level,software quality assurance engineer - entry level,NaN,EAI Technologies,eai technologies,NaN,"Vienna, VA 22182","Vienna, VA"
Software Engineer,software engineer,NaN,MIT,mit,4.2,"Remote in Cambridge, MA 02139
+3 locations",remote
Software Engineer (Frontend),software engineer (frontend),NaN,Demandbase,demandbase,4.3,"Remote in San Francisco, CA 94107",remote
Software Engineer – Software Products (Multiple Openings),software engineer – software products (multiple openings),Estimated $79K - $100K a year,Schweitzer Engineering Laboratories,schweitzer engineering laboratories,3.9,"Boise, ID
+4 locations","Boise, ID"
Risk-New York-Associate-Software Engineering,risk-new york-associate-software engineering,Estimated $80.1K - $101K a year,Goldman Sachs,goldman sachs,3.9,"New York, NY 10282 
(Battery Park area)
+1 location","New York, NY"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Embedded Software Engineer,embedded software engineer,Estimated $57.6K - $72.9K a year,The Raymond Corporation,the raymond corporation,3.3,"Greene, NY 13778
+1 location","Greene, NY"
Software Developer,software developer,NaN,Forecast 3D,forecast 3d,2.8,"Carlsbad, CA 92008 
(North Beach area)","Carlsbad, CA"
Software Development Team Lead,software development team lead,NaN,Uline,uline,3.1,"Pleasant Prairie, WI 53158
+6 locations","Pleasant Prairie, WI"
Senior Software Engineer,senior software engineer,NaN,Geisel Software,geisel software,5,"Worcester, MA 01606","Worcester, MA"
System and Software Architect / Engineering and Physical Sciences Researcher,system and software architect / engineering and physical sciences researcher,NaN,National Security Agency,national security agency,4.1,"Fort Meade, MD","Fort Meade, MD"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Engineering - Software Engineer,engineering - software engineer,Estimated $85.8K - $109K a year,Grote Industries,grote industries,NaN,"Madison, IN 47250","Madison, IN"
"Software Development Scrum Master (AHT)
new","software development scrum master (aht)
new",NaN,Northrop Grumman,northrop grumman,4,"Bellevue, NE 68123
+1 location","Bellevue, NE"
